0,1
-0.015,0.025
-0.035,0.015
-0.06,0.0
-0.06,-0.01
-0.075,-0.015
-0.06,-0.02
-0.05,-0.025
-0.075,-0.02
-0.095,-0.02
-0.055,-0.01
-0.025,-0.005
-0.025,0.0
-0.055,0.0
-0.06,0.0
-0.05,0.0
-0.005,-0.005
-0.045,-0.01
-0.09,-0.015
-0.065,-0.015
-0.015,-0.01
-0.02,-0.005
-0.02,0.005
-0.005,0.015
-0.03,0.025
-0.045,0.03
-0.015,0.03
-0.025,0.025
-0.01,0.015
0.015,0.0
-0.03,-0.01
-0.08,-0.02
-0.08,-0.025
-0.065,-0.03
-0.035,-0.025
-0.04,-0.02
-0.05,-0.015
-0.045,-0.01
-0.055,-0.005
0.005,-0.005
-0.055,-0.005
-0.055,-0.005
-0.025,-0.005
-0.005,0.0
-0.025,0.0
-0.005,0.005
-0.02,0.01
-0.035,0.015
-0.035,0.02
0.02,0.025
0.0,0.025
0.01,0.02
-0.005,0.02
-0.03,0.015
-0.045,0.01
-0.05,0.005
-0.075,0.005
-0.05,0.005
0.01,0.005
0.0,0.005
0.0,0.01
0.0,0.015
-0.005,0.015
-0.02,0.02
-0.045,0.02
-0.025,0.015
-0.04,0.015
-0.03,0.01
-0.045,0.005
-0.005,0.005
0.025,0.005
0.015,0.005
0.02,0.01
-0.02,0.02
-0.035,0.03
0.005,0.035
-0.005,0.04
-0.02,0.04
-0.04,0.035
-0.025,0.03
-0.01,0.015
-0.01,0.005
-0.015,-0.01
-0.095,-0.015
-0.05,-0.02
-0.035,-0.02
0.0,-0.015
-0.04,-0.005
-0.05,0.01
0.015,0.02
0.04,0.03
0.005,0.035
0.02,0.035
-0.01,0.035
-0.025,0.03
-0.025,0.025
-0.02,0.02
-0.02,0.015
-0.015,0.015
-0.03,0.015
0.02,0.015
0.01,0.015
-0.03,0.015
-0.015,0.01
-0.035,0.01
-0.035,0.01
-0.05,0.01
-0.045,0.005
0.015,0.005
0.03,0.0
0.01,-0.005
-0.055,-0.01
-0.08,-0.015
-0.08,-0.02
-0.065,-0.025
-0.05,-0.03
-0.045,-0.03
-0.035,-0.03
-0.01,-0.025
0.01,-0.02
0.015,-0.01
-0.005,-0.005
-0.025,0.0
-0.05,0.01
-0.075,0.01
-0.03,0.015
-0.02,0.015
-0.02,0.015
0.005,0.015
0.015,0.01
-0.005,0.01
-0.025,0.005
-0.01,0.005
